file,reviewer,round,stem,verdict_class,mixed,debt_ids,first_commit_date,ref,verdict_text
rebuild/lanes/astra/reviews/B1B2-COMPLETE-REVIEW.md,Astra,,B1B2-COMPLETE-REVIEW,,,,2026-09-13T07:30:43-04:00,origin/rebuild/t2-client-core,
rebuild/lanes/astra/reviews/B1B2-R2-REVIEW.md,Astra,,B1B2-R2-REVIEW,,,,2026-09-13T12:53:52-04:00,origin/rebuild/t2-client-core,
rebuild/lanes/astra/reviews/B1B2-RECOVERY-STATIC-ANNEX.md,Astra,,B1B2-RECOVERY-STATIC-ANNEX,,,,2026-09-13T07:30:43-04:00,origin/rebuild/t2-client-core,
rebuild/lanes/astra/reviews/B1B2-STATIC-EVIDENCE-ANNEX.md,Astra,,B1B2-STATIC-EVIDENCE-ANNEX,,,,2026-09-13T07:30:43-04:00,origin/rebuild/t2-client-core,
rebuild/lanes/astra/reviews/C-UI-0-ACCELERATED-REVIEW-L1.md,Astra,1,C-UI-0-ACCELERATED-REVIEW,ACCEPT,0,0,2026-09-21T19:06:16-04:00,origin/rebuild/t2-client-core,"ACCEPT the commissioned 18-item C-UI-0 proof; Claude, public CI and PM integration/seal remain separate gates."
rebuild/lanes/astra/reviews/C-UI-HARNESS-REVIEW-L1.md,Astra,1,C-UI-HARNESS-REVIEW,NOT READY,1,0,2026-09-21T22:49:03-04:00,origin/rebuild/t2-client-core,NOT READY for a pass claim; narrow correction remains incompletely demonstrated.
rebuild/lanes/astra/reviews/C-UI-LINUX-UNIT-RETARGET-REVIEW.md,Astra,,C-UI-LINUX-UNIT-RETARGET-REVIEW,ACCEPT,0,0,2026-09-21T20:56:49-04:00,origin/rebuild/t2-client-core,"independent STATIC ACCEPT, metadata only, 2026-09-21."
rebuild/lanes/astra/reviews/C-UI-LINUX-WITNESS-REVIEW-L1.md,Astra,1,C-UI-LINUX-WITNESS-REVIEW,ACCEPT,0,0,2026-09-21T18:27:57-04:00,origin/rebuild/t2-client-core,"ACCEPT for the scoped auxiliary workflow; no push, trigger or execution performed by reviewer."
rebuild/lanes/astra/reviews/C-UI-LINUX-WITNESS-REVIEW-L2.md,Astra,2,C-UI-LINUX-WITNESS-REVIEW,ACCEPT,0,0,2026-09-21T18:38:32-04:00,origin/rebuild/t2-client-core,ACCEPT the scoped preflight correction; no hosted proof or C-UI acceptance.
rebuild/lanes/astra/reviews/C-UI-UNIT-REVIEW-L1.md,Astra,1,C-UI-UNIT-REVIEW,ACCEPT,0,1,2026-09-21T21:16:41-04:00,origin/rebuild/t2-client-core,"ACCEPT narrow D-CUI-UNIT repair and commissioned Windows proof; same-head Linux, Claude and PM integration remain separate gates."
rebuild/lanes/astra/reviews/CUI-FONT-TRANSPORT-REVIEW-L1.md,Astra,1,CUI-FONT-TRANSPORT-REVIEW,ACCEPT,0,0,2026-09-21T22:18:50-04:00,origin/rebuild/t2-client-core,ACCEPT the bounded font transport repair only.
rebuild/lanes/astra/reviews/CUI-SEQUENCING-AMENDMENT-REVIEW-L1.md,Astra,1,CUI-SEQUENCING-AMENDMENT-REVIEW,ACCEPT,0,0,2026-09-21T22:15:07-04:00,origin/rebuild/t2-client-core,ACCEPT PROPOSAL DIRECTION WITH REQUIRED FORMAL AMENDMENTS BELOW; no effective ruling or seal acceptance.
rebuild/lanes/astra/reviews/CUI-SEQUENCING-DOCUMENT-FOLD-REVIEW-L1.md,Astra,1,CUI-SEQUENCING-DOCUMENT-FOLD-REVIEW,ACCEPT,0,0,2026-09-21T22:34:50-04:00,origin/rebuild/t2-client-core,ACCEPT the seven-document fold and exact hashes below; no blocking finding.
rebuild/lanes/astra/reviews/CUI1-INTERFACE-PREFLIGHT-L1.md,Astra,1,CUI1-INTERFACE-PREFLIGHT,NOT READY,0,0,2026-09-21T21:47:39-04:00,origin/rebuild/t2-client-core,"BLOCKED STATIC PREFLIGHT; no ACCEPT, runtime, or visual-fidelity claim."
rebuild/lanes/astra/reviews/CUI1-INTERFACE-SEQUENCING-L1.md,Astra,1,CUI1-INTERFACE-SEQUENCING,UNKNOWN,0,0,2026-09-21T22:05:02-04:00,origin/rebuild/t2-client-core,no honest real-element adapter alone meets the complete unchanged CUI1 font-check requirement at this candidate.
rebuild/lanes/astra/reviews/GSS-D2-PARENT-CUSTODY-PM-NOTE.md,Astra,,GSS-D2-PARENT-CUSTODY-PM-NOTE,,,,2026-09-21T18:01:08-04:00,origin/rebuild/t2-client-core,
rebuild/lanes/astra/reviews/GSS-G4-G5-REVIEW-L1.md,Astra,1,GSS-G4-G5-REVIEW,UNKNOWN,1,0,2026-09-21T23:19:26-04:00,origin/rebuild/t2-client-core,G4 PASS; G5 REJECT with a reproduced product failure. No repair performed.
