path	role	status	scope	stage	class	hunk	lines_minus_plus	basis
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-34 +35	0/5	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-362 +367	4/22	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-370 +392	15/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-392 +399	1/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-410 +417	13/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-432 +426	10/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-454 +438	1/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-459 +442	16/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-477 +446	0/3	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-482 +453	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-484 +454	20/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-505 +455	4/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-510 +456	32/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
